trial,lambda_main,lambda_cross,home_adv,squash_scale,mean_mae,std_mae
138,0.016527079041475712,0.9133776519713597,0.2548401572383019,1.0863563578163744,1.3405580857030943,0.06545923224730936
58,0.08383741523456792,0.8112519874462678,0.17215205963288072,2.956986268308429,1.3422533367401728,0.0581329279428342
10,0.011803630459589265,0.42371762952325154,0.004528391589775915,5.897935717810496,1.343137924688026,0.0560690280440887
27,0.08369888378283892,0.5329611727798631,0.2371048547311346,6.212232232665739,1.343229455748599,0.06149248288069244
127,0.14930141844574668,0.9697674658813613,0.22949281313569778,0.9627068164477708,1.3439151265261207,0.05207129332367481
34,0.06596919156057218,0.7264743925457596,0.07024941190511536,5.778288461763257,1.3439312521470048,0.05774322912219631
13,0.0861695424413658,0.48168001820215567,0.28362840399476913,5.551031388547083,1.3439690450717088,0.06257696160359545
108,0.009573300031567596,0.9774790225579123,0.2811870478648791,2.0779607113090286,1.3443525209873832,0.06608482904879488
35,0.0063069218531784915,0.880551451721238,0.1460999254042124,7.96373039190082,1.3448870779650473,0.06333000873413382
68,0.12912675834935775,0.6796782065194749,0.2526672817917306,1.7007073177068017,1.3464047293939392,0.058929710375594406
47,0.06748087923294205,0.5740597086027345,0.033197971640330934,7.102952008410911,1.3468356372795223,0.056422578802537864
96,0.0906548609464129,0.6248038975637948,0.16046676942026963,5.982014995230827,1.348914676492129,0.06024466229848505
95,0.013489420846465199,0.7601498755473878,0.13889416622601178,1.0554933437586982,1.3495507489823049,0.06676518674289678
57,0.11760311463467694,0.7195759548139714,0.1919137023750136,2.292694392283887,1.3496800181882989,0.05895126154807227
11,0.008668500926724054,0.4060421142605831,0.008857317097559221,6.344293572572166,1.3500577012513244,0.05845730737433403
1,0.07885330158077582,0.23883512309922036,0.03485016730091967,6.996321093312014,1.3500889774811387,0.05413947244461539
39,0.09970553028614743,0.5869807837055583,0.14830002266350606,4.605268909560998,1.35091873999931,0.05966528426223631
88,0.011542188630849045,0.5873046920876709,0.0736544303985308,1.1563242933158504,1.3578324365445038,0.06816595451237904
169,0.009010339941221166,0.988343729915825,0.4046014153025337,1.9103588944744925,1.3581006701756935,0.06924442459808328
8,0.033460744899654477,0.9445081281554666,0.5793792198447356,6.5629801108734585,1.358997045919398,0.06207698999556382
89,0.11502928600919135,0.2754617354049166,0.5366623462290178,0.5183606070952653,1.3590947114561953,0.07202228473058199
147,0.008429487149630648,0.9276155133936018,0.17984485081795026,1.2320511948929393,1.360608260987678,0.0716502078160234
4,0.1528168792368093,0.5670332241526916,0.25916701118526947,2.6842185514853143,1.363407948594991,0.06279301774486545
32,0.10258932308961463,0.8727220337792702,0.14650333606143975,6.756815178310037,1.3638299459839964,0.06139383476581175
15,0.08273255379311448,0.3671179934610416,0.5537089512882833,5.862300187791736,1.3670495961720788,0.07073800049880731
17,0.12269360547092056,0.6881615955101351,0.20661198820739338,7.869517206316939,1.368151537702616,0.06378427200915056
25,0.14063733593795574,0.45147273459458565,0.21503417087432514,6.310256430307908,1.3708494664307411,0.06351246783602088
9,0.15300227081751197,0.18692818146568163,0.4105398159072941,3.8011437030470097,1.3734365210936272,0.0648101190657899
36,0.13397302843794356,0.6652881492620214,0.16999990876137014,7.018175384959207,1.3740581056493004,0.06364246118089992
22,0.11086300522356836,0.62002084387325,0.4925567947270698,7.297146822367108,1.3759982164851194,0.06909862861945255
199,0.004509143206972571,0.9466561199130307,0.16966613507544925,1.7816014842556747,1.3773640392869322,0.07784500321459649
192,0.23240751338212065,0.2087220016834216,0.17064332583171107,1.6378448191778407,1.3794846246675088,0.05663856284976417
48,0.15941906858681357,0.6581009497710624,0.13755020992133948,6.618013658172349,1.3892611014470144,0.06504563196104016
28,0.17769688280009255,0.5062567571176778,0.30388310852400396,6.644482309768871,1.3921548452905381,0.06752436025750523
70,0.20929506560553968,0.5175172118081472,0.08394250468995737,2.601878775921585,1.3926852613835463,0.06149396378532418
113,0.0027799664270843245,0.9275049781297219,0.2678447967592456,2.6486893508429477,1.395013744261574,0.08309328009483943
38,0.18008574552703638,0.8574017631646617,0.23323123588974362,4.0388434280485805,1.3999502025599058,0.06338528295213973
7,0.2966148698621592,0.14134086732079798,0.364526911140863,1.7789309276546865,1.4097757371656239,0.06233926707499353
20,0.2072936357466637,0.5105575532911536,0.11467051941708195,6.84417601232219,1.413612315430967,0.0670304027545598
45,0.0014272461364314981,0.8297282694510381,0.19535516703502248,3.4100633550784116,1.414126081061477,0.09117757865688962
178,0.002606288936499529,0.9387955884444131,0.3764880996294754,2.085889646210354,1.4147106613086842,0.08613488820451362
110,0.2810093102442337,0.9553370257749616,0.2806324423562102,1.8785101055419315,1.4280317093156933,0.059677511797726006
60,0.2510016577757878,0.698383884054709,0.12949319830096145,3.4768095235336536,1.428778804799263,0.06677155674178181
0,0.1878955193048339,0.9461357327048254,0.43919636508684307,4.9899386314777745,1.4311204045033092,0.06510915328617653
6,0.22857892212430092,0.7988066056397821,0.11980426929501584,4.356758288102087,1.4323691661524924,0.06749703341532373
75,0.0012018995788028938,0.6767500841367773,0.21927762608849488,1.7959040267946125,1.4342171749456332,0.09566912900229452
5,0.30631459446646736,0.22414953598031723,0.17528678912113088,3.2477138247026875,1.4451494138527328,0.06473804426080909
